sequence,target
531 102 3300 15 777 124 68 1 1 1 1 1 1 1 1,2
40 23 471 4 208 1 1 1 1 1 1 1 1 1 1,6
14 15 369 370 1 1 1 1 1 1 1 1 1 1 1,0
309 1164 327 566 1 1 1 1 1 1 1 1 1 1 1,1
7 8 27 28 29 1835 243 10 5 225 1 1 1 1 1,1
14 15 378 167 11592 3798 672 1 1 1 1 1 1 1 1,4
29 4 96 45 10 161 1 1 1 1 1 1 1 1 1,6
151 330 29 10 260 261 1 1 1 1 1 1 1 1 1,6
7 8 23 9 4 11593 1 1 1 1 1 1 1 1 1,8
23 476 474 7 1 1 1 1 1 1 1 1 1 1 1,2
7 8 27 28 29 245 259 10 420 35 1 1 1 1 1,6
106 107 4 98 1 1 1 1 1 1 1 1 1 1 1,6
320 117 69 898 899 322 1 1 1 1 1 1 1 1 1,3
36 23 874 2 95 1 1 1 1 1 1 1 1 1 1,5
36 23 426 119 9 116 1 1 1 1 1 1 1 1 1,8
2 3 10 18 1 1 1 1 1 1 1 1 1 1 1,1
77 40 23 85 121 4 251 1 1 1 1 1 1 1 1,4
167 1564 132 965 115 1 1 1 1 1 1 1 1 1 1,3
9 7 119 1 1 1 1 1 1 1 1 1 1 1 1,8
29 4 867 488 10 420 1 1 1 1 1 1 1 1 1,6
9 7693 1 1 1 1 1 1 1 1 1 1 1 1 1,8
77 78 28 79 7 23 27 28 29 4 245 74 10 160 35 ,3
36 23 342 9 295 1 1 1 1 1 1 1 1 1 1,8
495 102 1014 15 1712 719 720 68 2056 63 3149 1 1 1 1,6
14 15 1304 121 4 990 167 1 1 1 1 1 1 1 1,2
2 193 10 18 1 1 1 1 1 1 1 1 1 1 1,5
14 15 58 29 10 2507 1 1 1 1 1 1 1 1 1,9
77 302 7 8 23 245 10 5 35 1 1 1 1 1 1,6
36 23 85 121 117 209 1 1 1 1 1 1 1 1 1,4
11594 296 305 10 309 1 1 1 1 1 1 1 1 1 1,0
14 15 140 4 82 1 1 1 1 1 1 1 1 1 1,6
106 107 4 185 171 1 1 1 1 1 1 1 1 1 1,0
29 4 1057 325 10 319 1 1 1 1 1 1 1 1 1,6
77 78 28 79 23 9 7 117 5953 434 2043 119 1 1 1,8
36 23 48 9 116 4 9473 1825 1 1 1 1 1 1 1,8
7 8 29 4 1744 10 2197 1 1 1 1 1 1 1 1,6
77 78 28 79 11595 3898 193 4 18 35 1 1 1 1 1,1
36 23 173 701 49 95 1 1 1 1 1 1 1 1 1,6
36 23 5 85 7 1158 1 1 1 1 1 1 1 1 1,4
7 117 1534 193 10 223 141 35 1 1 1 1 1 1 1,5
36 23 88 396 117 161 1 1 1 1 1 1 1 1 1,5
77 78 28 79 7 23 29 4 289 104 10 5 1 1 1,6
101 63 620 15 621 1 1 1 1 1 1 1 1 1 1,8
14 15 29 4 96 45 10 173 1 1 1 1 1 1 1,5
96 102 6656 558 876 915 523 1 1 1 1 1 1 1 1,7
7 8 9 10 1045 1 1 1 1 1 1 1 1 1 1,8
495 63 2184 102 81 876 363 315 68 1 1 1 1 1 1,8
14 15 167 121 4 309 10 1834 167 1 1 1 1 1 1,4
14 15 148 29 10 379 1 1 1 1 1 1 1 1 1,6
29 4 171 172 10 142 1 1 1 1 1 1 1 1 1,6
320 23 2 193 1 1 1 1 1 1 1 1 1 1 1,1
36 23 81 457 178 117 693 1 1 1 1 1 1 1 1,5
77 302 7 8 9 117 490 119 4 491 384 1 1 1 1,8
7 4 365 578 1 1 1 1 1 1 1 1 1 1 1,3
49 148 153 10 2091 1 1 1 1 1 1 1 1 1 1,2
2346 132 101 1 1 1 1 1 1 1 1 1 1 1 1,8
7 23 2184 1679 823 3308 1 1 1 1 1 1 1 1 1,3
36 23 260 261 387 388 2 95 1 1 1 1 1 1 1,1
9 7 119 2431 1 1 1 1 1 1 1 1 1 1 1,8
821 1210 582 11596 1 1 1 1 1 1 1 1 1 1 1,3
36 23 487 488 95 10 34 1 1 1 1 1 1 1 1,6
36 23 9 37 11597 39 1 1 1 1 1 1 1 1 1,8
122 15 777 719 523 68 1 1 1 1 1 1 1 1 1,0
7 8 28 9 10 234 1 1 1 1 1 1 1 1 1,8
245 7 10 43 1 1 1 1 1 1 1 1 1 1 1,6
36 23 171 703 10 2141 261 1 1 1 1 1 1 1 1,6
11598 117 154 7507 1 1 1 1 1 1 1 1 1 1 1,4
23 9 7 1 1 1 1 1 1 1 1 1 1 1 1,8
7 8 28 9 4 234 1 1 1 1 1 1 1 1 1,8
14 15 23 49 29 10 390 1 1 1 1 1 1 1 1,6
29 4 387 1057 325 10 18 1 1 1 1 1 1 1 1,6
7 8 28 9 10 234 1 1 1 1 1 1 1 1 1,8
77 78 28 79 7 23 9 7 10 4709 351 119 1 1 1,8
77 78 28 79 7 23 9 37 10 1870 351 119 1 1 1,8
48 77 40 54 15 114 511 512 1669 1 1 1 1 1 1,9
7 8 9 4 4491 1 1 1 1 1 1 1 1 1 1,8
7 8 887 33 10 5 1 1 1 1 1 1 1 1 1,0
106 107 4 154 35 1 1 1 1 1 1 1 1 1 1,6
14 15 23 49 29 10 11433 1 1 1 1 1 1 1 1,6
8 5475 74 10 86 1 1 1 1 1 1 1 1 1 1,6
301 325 10 5 1 1 1 1 1 1 1 1 1 1 1,6
14 15 23 33 29 10 1120 261 1 1 1 1 1 1 1,6
36 23 8573 471 396 1 1 1 1 1 1 1 1 1 1,1
27 28 29 245 33 10 1131 35 1 1 1 1 1 1 1,6
18 140 126 1 1 1 1 1 1 1 1 1 1 1 1,7
40 23 301 56 4 2147 106 1 1 1 1 1 1 1 1,6
36 23 16 1199 117 347 463 6 1 1 1 1 1 1 1,3
564 565 10 154 1 1 1 1 1 1 1 1 1 1 1,6
14 15 148 29 4 150 1 1 1 1 1 1 1 1 1,6
77 349 28 79 9 7 4 520 119 1 1 1 1 1 1,8
14 15 23 163 813 10 1756 1 1 1 1 1 1 1 1,6
77 213 9 7 4 716 3432 39 4 216 217 1 1 1 1,8
14 15 1832 7 4 1324 294 1 1 1 1 1 1 1 1,8
40 23 5 1270 317 715 1 1 1 1 1 1 1 1 1,0
7 8 9 4 4997 1 1 1 1 1 1 1 1 1 1,8
7 8 28 9 10 562 1 1 1 1 1 1 1 1 1,8
106 107 4 824 1 1 1 1 1 1 1 1 1 1 1,6
36 23 9 116 4 942 525 10 943 119 1 1 1 1 1,8
439 14 15 9 7 117 2981 1 1 1 1 1 1 1 1,8
77 213 9 7 4 248 441 119 4 216 217 1 1 1 1,8
7 8 1028 243 10 5 1 1 1 1 1 1 1 1 1,1
7086 3413 34 85 121 1 1 1 1 1 1 1 1 1 1,4
36 23 48 29 4 171 2803 533 379 1 1 1 1 1 1,8
36 23 946 117 376 1 1 1 1 1 1 1 1 1 1,5
34 58 11599 742 588 1 1 1 1 1 1 1 1 1 1,9
117 226 10 34 1 1 1 1 1 1 1 1 1 1 1,5
481 230 4 86 1 1 1 1 1 1 1 1 1 1 1,6
488 296 104 153 10 53 1 1 1 1 1 1 1 1 1,6
85 783 633 115 1 1 1 1 1 1 1 1 1 1 1,4
7 8 9 4 2927 1 1 1 1 1 1 1 1 1 1,8
140 4 2015 1 1 1 1 1 1 1 1 1 1 1 1,6
54 48 4063 4 641 218 7 17 4064 115 1 1 1 1 1,4
77 349 28 79 7 23 27 28 29 171 325 10 420 35 1,6
128 4 154 1 1 1 1 1 1 1 1 1 1 1 1,4
7 8 29 4 11600 2512 10 141 935 1 1 1 1 1 1,6
36 23 34 88 396 296 140 1 1 1 1 1 1 1 1,5
7 8 9 10 562 1 1 1 1 1 1 1 1 1 1,8
7 8 48 280 4 935 1 1 1 1 1 1 1 1 1,8
36 23 151 1508 95 10 486 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 9 4 248 1593 119 1 1 1 1,8
36 23 327 178 10 587 1 1 1 1 1 1 1 1 1,5
36 23 596 344 2 95 1 1 1 1 1 1 1 1 1,5
3252 102 369 121 1 1 1 1 1 1 1 1 1 1 1,6
77 302 7 8 9 7 117 3123 382 10 732 119 216 217 384 ,8
14 15 49 29 10 127 1 1 1 1 1 1 1 1 1,6
40 23 58 95 117 34 1 1 1 1 1 1 1 1 1,9
439 14 15 9 7 117 11601 1 1 1 1 1 1 1 1,8
1691 4 1432 10 48 5 35 1 1 1 1 1 1 1 1,1
77 349 28 79 7 23 9 4 2305 490 119 1 1 1 1,8
74 4 8153 104 17 34 1 1 1 1 1 1 1 1 1,6
122 63 592 15 6167 102 467 60 836 1 1 1 1 1 1,1
7 4 1947 3 10 5 35 1 1 1 1 1 1 1 1,9
29 4 290 10 569 261 1 1 1 1 1 1 1 1 1,6
1726 510 33 4 5 1 1 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 9 37 10 586 119 1 1 1 1,8
77 349 28 79 9 116 4 441 119 1 1 1 1 1 1,8
106 107 10 5 35 1 1 1 1 1 1 1 1 1 1,6
77 302 7 8 9 117 2263 294 4 384 216 217 1 1 1,8
36 23 9 1199 117 1561 5671 1 1 1 1 1 1 1 1,8
36 23 9 116 4 1027 119 1 1 1 1 1 1 1 1,8
77 349 28 3835 167 121 7170 17 948 4303 1 1 1 1 1,4
14 15 324 325 29 10 98 1 1 1 1 1 1 1 1,6
77 349 28 79 7 23 9 10 1853 119 1 1 1 1 1,8
36 23 408 280 117 596 3640 1002 1 1 1 1 1 1 1,7
14 15 33 29 4 659 261 1 1 1 1 1 1 1 1,6
148 1653 10 2423 35 1 1 1 1 1 1 1 1 1 1,5
857 9 295 297 511 298 4 299 1 1 1 1 1 1 1,2
439 14 15 9 7 117 6579 1 1 1 1 1 1 1 1,8
40 23 3990 69 11602 114 1 1 1 1 1 1 1 1 1,3
14 15 23 100 207 29 10 160 1 1 1 1 1 1 1,6
77 302 7 8 9 7 117 1605 768 119 4 384 216 217 1,8
77 349 28 79 7 23 27 28 29 2026 81 10 160 35 1,6
7 8 29 4 171 172 10 173 1 1 1 1 1 1 1,5
9 7 1 1 1 1 1 1 1 1 1 1 1 1 1,8
106 4906 4 154 1 1 1 1 1 1 1 1 1 1 1,5
14 15 23 58 29 10 796 463 1 1 1 1 1 1 1,9
14 15 23 100 207 29 10 309 1 1 1 1 1 1 1,6
77 349 28 79 23 27 28 29 148 289 104 10 765 35 1,0
29 4 595 10 185 1 1 1 1 1 1 1 1 1 1,6
14 15 29 4 96 45 11603 1 1 1 1 1 1 1 1,6
7 23 140 4 531 1 1 1 1 1 1 1 1 1 1,7
36 23 972 1269 513 1475 296 803 8818 114 1 1 1 1 1,0
77 78 28 79 7 23 9 519 117 1477 119 4 216 217 1,8
82 151 236 95 1 1 1 1 1 1 1 1 1 1 1,6
77 78 28 79 23 7 4 9 4 520 119 1 1 1 1,8
36 23 161 2 95 1 1 1 1 1 1 1 1 1 1,5
36 23 825 95 10 376 1 1 1 1 1 1 1 1 1,6
14 15 850 7 1 1 1 1 1 1 1 1 1 1 1,2
7 8 27 28 29 245 259 10 5798 35 1 1 1 1 1,6
1203 15 11604 124 68 1 1 1 1 1 1 1 1 1 1,6
7 4 476 474 1 1 1 1 1 1 1 1 1 1 1,3
36 23 213 117 1528 549 715 1 1 1 1 1 1 1 1,3
36 23 8162 396 117 161 1 1 1 1 1 1 1 1 1,0
58 95 10 5 1 1 1 1 1 1 1 1 1 1 1,9
36 23 9 37 10058 39 1 1 1 1 1 1 1 1 1,8
77 78 28 79 7 23 365 648 348 1 1 1 1 1 1,8
77 349 28 79 7 23 1643 6136 117 5 35 1 1 1 1,1
77 302 7 8 245 74 10 319 35 1 1 1 1 1 1,6
5 493 29 1 1 1 1 1 1 1 1 1 1 1 1,6
36 23 408 713 280 1 1 1 1 1 1 1 1 1 1,0
661 153 10 185 1 1 1 1 1 1 1 1 1 1 1,6
58 95 17 2751 2752 1 1 1 1 1 1 1 1 1 1,8
83 108 29 10 53 35 1 1 1 1 1 1 1 1 1,6
14 15 23 167 121 4 980 10 378 167 1 1 1 1 1,4
36 23 286 151 236 10 309 1 1 1 1 1 1 1 1,6
7 2990 58 29 4 5 1 1 1 1 1 1 1 1 1,8
11605 102 567 63 620 15 103 658 68 1 1 1 1 1 1,6
14 15 23 806 29 10 376 1 1 1 1 1 1 1 1,6
439 14 15 9 7 117 11297 1 1 1 1 1 1 1 1,8
36 23 596 88 396 1 1 1 1 1 1 1 1 1 1,0
77 78 28 79 1172 23 9 37 10 2955 1 1 1 1 1,8
77 349 28 9 7 4 248 1836 119 1 1 1 1 1 1,8
14 15 511 171 10 379 1 1 1 1 1 1 1 1 1,4
1005 132 101 1 1 1 1 1 1 1 1 1 1 1 1,8
521 132 2483 910 720 68 1 1 1 1 1 1 1 1 1,6
83 108 17 274 1 1 1 1 1 1 1 1 1 1 1,0
74 4 75 17 160 1 1 1 1 1 1 1 1 1 1,6
36 23 819 820 821 11606 823 1 1 1 1 1 1 1 1,3
14 15 148 29 10 106 1 1 1 1 1 1 1 1 1,6
36 23 81 1078 10 142 1 1 1 1 1 1 1 1 1,5
14 15 29 4 96 189 274 1 1 1 1 1 1 1 1,6
7 8 29 4 171 56 10 659 261 1 1 1 1 1 1,6
10280 107 10 5 35 1 1 1 1 1 1 1 1 1 1,6
36 23 395 95 10 587 1 1 1 1 1 1 1 1 1,6
58 95 4 5 1 1 1 1 1 1 1 1 1 1 1,9
27 28 29 4 151 162 654 10 5 35 1 1 1 1 1,6
420 289 104 95 1 1 1 1 1 1 1 1 1 1 1,6
74 4 171 325 1 1 1 1 1 1 1 1 1 1 1,8
36 23 4265 9 116 1 1 1 1 1 1 1 1 1 1,8
106 107 4 1553 1 1 1 1 1 1 1 1 1 1 1,6
286 1057 325 153 10 18 1 1 1 1 1 1 1 1 1,6
661 153 10 223 1 1 1 1 1 1 1 1 1 1 1,6
78 28 79 23 566 4 3025 2258 4159 1 1 1 1 1 1,6
154 7 1 1 1 1 1 1 1 1 1 1 1 1 1,5
661 29 10 48 309 1 1 1 1 1 1 1 1 1 1,6
36 23 69 70 1 1 1 1 1 1 1 1 1 1 1,4
27 28 29 83 108 10 105 35 1 1 1 1 1 1 1,6
36 23 2268 9 116 1 1 1 1 1 1 1 1 1 1,8
7 8 9 116 4 3303 1 1 1 1 1 1 1 1 1,8
14 15 23 245 29 10 355 171 1 1 1 1 1 1 1,6
151 153 4 127 10 48 49 11607 11608 11609 1 1 1 1 1,6
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,6
151 330 29 10 420 1 1 1 1 1 1 1 1 1 1,6
74 4 494 1 1 1 1 1 1 1 1 1 1 1 1,6
27 28 29 151 158 10 34 6 1 1 1 1 1 1 1,0
11610 95 10 274 1 1 1 1 1 1 1 1 1 1 1,6
77 302 7 8 9 7 117 732 119 216 217 384 1 1 1,8
33 29 10 659 35 1 1 1 1 1 1 1 1 1 1,6
11611 11612 5242 11613 11614 11615 474 11616 6375 11617 11617 11618 1 1 1,0
55 325 29 10 5 35 1 1 1 1 1 1 1 1 1,6
148 153 10 34 1 1 1 1 1 1 1 1 1 1 1,6
14 15 148 29 10 11619 1 1 1 1 1 1 1 1 1,6
14 15 9 7 4 11620 294 1 1 1 1 1 1 1 1,8
77 349 28 79 7 23 85 7 4 4561 1 1 1 1 1,4
9 970 4 2654 1 1 1 1 1 1 1 1 1 1 1,8
36 23 912 9 11621 1 1 1 1 1 1 1 1 1 1,8
96 45 10 420 1 1 1 1 1 1 1 1 1 1 1,1
14 15 23 148 29 10 1 1 1 1 1 1 1 1 1,2
40 23 2031 117 34 81 1 1 1 1 1 1 1 1 1,1
7 117 29 6218 151 236 10 82 35 1 1 1 1 1 1,5
14 15 511 755 10 208 1 1 1 1 1 1 1 1 1,8
77 78 28 79 9 116 10 248 698 119 1 1 1 1 1,8
14 21 5169 29 10 149 1 1 1 1 1 1 1 1 1,6
887 153 10 5 1 1 1 1 1 1 1 1 1 1 1,8
77 78 28 79 7 23 769 499 1 1 1 1 1 1 1,3
7 8 27 28 29 2451 10 154 35 1 1 1 1 1 1,6
77 78 28 79 7 23 641 374 1 1 1 1 1 1 1,4
14 15 23 48 29 4 148 10 2507 1 1 1 1 1 1,6
14 15 23 9 7 4 4133 1 1 1 1 1 1 1 1,8
77 349 28 79 7 23 27 28 29 289 104 10 5 35 1,6
36 23 88 224 4 274 1 1 1 1 1 1 1 1 1,0
14 15 245 5165 29 10 166 1 1 1 1 1 1 1 1,6
40 23 74 4 83 186 1 1 1 1 1 1 1 1 1,6
14 15 114 115 4 11622 1 1 1 1 1 1 1 1 1,3
36 23 152 95 10 5 1 1 1 1 1 1 1 1 1,5
717 15 11623 11624 363 315 68 1 1 1 1 1 1 1 1,0
4785 106 107 1 1 1 1 1 1 1 1 1 1 1 1,6
14 15 167 121 4 1604 282 10 11625 167 1 1 1 1 1,4
749 153 10 2765 6093 1 1 1 1 1 1 1 1 1 1,6
36 23 29 4 1192 45 10 76 8340 1 1 1 1 1 1,6
14 15 148 29 10 255 1 1 1 1 1 1 1 1 1,6
27 28 6062 5210 5211 1 1 1 1 1 1 1 1 1 1,1
14 15 140 4 690 1 1 1 1 1 1 1 1 1 1,7
7 23 223 1 1 1 1 1 1 1 1 1 1 1 1,1
14 15 58 4060 4 160 1 1 1 1 1 1 1 1 1,9
77 349 28 79 7 23 27 28 29 871 10 34 35 1 1,6
821 1210 102 103 1 1 1 1 1 1 1 1 1 1 1,3
564 301 325 10 5 1 1 1 1 1 1 1 1 1 1,6
40 23 74 4 333 334 17 120 11626 1 1 1 1 1 1,6
7 4081 27 28 902 29 10 255 35 1 1 1 1 1 1,9
14 15 81 10 223 1 1 1 1 1 1 1 1 1 1,2
36 23 1820 117 711 1 1 1 1 1 1 1 1 1 1,5
77 78 28 79 7 23 9 3547 742 977 382 10 978 119 1,8
36 23 58 95 10 596 1 1 1 1 1 1 1 1 1,9
151 236 29 10 43 1 1 1 1 1 1 1 1 1 1,6
7 8 29 4 749 10 171 106 1 1 1 1 1 1 1,6
74 4 263 17 34 1 1 1 1 1 1 1 1 1 1,6
109 95 4 420 35 1 1 1 1 1 1 1 1 1 1,5
40 23 301 325 10 548 1 1 1 1 1 1 1 1 1,5
77 78 28 79 23 27 28 29 289 10 105 35 1 1 1,6
58 153 10 5 35 1 1 1 1 1 1 1 1 1 1,9
77 213 9 7 4 11627 119 4 216 217 1 1 1 1 1,8
1062 2 296 109 54 117 1063 81 10 160 35 1 1 1 1,0
154 5342 7 1 1 1 1 1 1 1 1 1 1 1 1,3
148 153 1 1 1 1 1 1 1 1 1 1 1 1 1,6
148 102 103 11628 1 1 1 1 1 1 1 1 1 1 1,6
77 302 7 8 9 7 117 3742 382 10 1041 119 216 217 384 ,8
7 8 566 4 1835 10 5 1 1 1 1 1 1 1 1,5
148 102 153 1 1 1 1 1 1 1 1 1 1 1 1,6
543 4 141 35 1 1 1 1 1 1 1 1 1 1 1,7
74 4 152 17 274 1 1 1 1 1 1 1 1 1 1,6
7 8 9 577 1 1 1 1 1 1 1 1 1 1 1,8
326 585 29 10 5 6 1 1 1 1 1 1 1 1 1,0
14 15 1122 29 10 531 1 1 1 1 1 1 1 1 1,6
36 23 1435 9 116 1 1 1 1 1 1 1 1 1 1,8
14 15 114 115 4 166 1 1 1 1 1 1 1 1 1,3
14 15 1175 109 95 10 872 1 1 1 1 1 1 1 1,5
14 15 151 236 29 10 106 1 1 1 1 1 1 1 1,6
9 7 119 2125 1 1 1 1 1 1 1 1 1 1 1,8
2471 4 11629 1 1 1 1 1 1 1 1 1 1 1 1,6
58 95 10 235 463 1 1 1 1 1 1 1 1 1 1,9
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,6
36 23 1326 119 821 2253 412 114 511 1 1 1 1 1 1,0
14 15 23 369 121 4 282 1 1 1 1 1 1 1 1,0
88 224 4 125 1 1 1 1 1 1 1 1 1 1 1,0
36 23 29 4 831 325 10 5 1 1 1 1 1 1 1,6
439 14 15 29 4 756 296 5089 1591 11630 10 713 1 1 1,6
36 23 4737 85 121 10 11631 1 1 1 1 1 1 1 1,4
14 15 976 116 10 1 1 1 1 1 1 1 1 1 1,8
36 23 6455 34 85 121 1 1 1 1 1 1 1 1 1,4
171 45 29 10 376 1 1 1 1 1 1 1 1 1 1,5
7 8 27 28 29 712 10 623 417 1 1 1 1 1 1,1
77 302 7 8 9 117 119 732 1 1 1 1 1 1 1,8
14 15 23 11632 207 29 10 713 1 1 1 1 1 1 1,6
151 152 153 1 1 1 1 1 1 1 1 1 1 1 1,6
36 23 1598 243 95 10 376 1 1 1 1 1 1 1 1,5
77 78 28 79 7 23 9 37 10 11633 382 10 932 119 1,8
40 23 2 193 117 46 1 1 1 1 1 1 1 1 1,1
40 23 2045 4035 7 1 1 1 1 1 1 1 1 1 1,0
817 15 6277 1 1 1 1 1 1 1 1 1 1 1 1,8
29 4 1509 10 150 463 1 1 1 1 1 1 1 1 1,6
36 23 2666 33 95 10 2575 208 1 1 1 1 1 1 1,6
1315 95 1 1 1 1 1 1 1 1 1 1 1 1 1,6
36 23 2644 295 9 116 1 1 1 1 1 1 1 1 1,8
14 15 29 4 1421 94 10 98 1 1 1 1 1 1 1,6
1014 1679 876 11634 720 68 11635 68 1 1 1 1 1 1 1,3
10434 563 4 18 1 1 1 1 1 1 1 1 1 1 1,3
7 8 724 81 10 5 35 1 1 1 1 1 1 1 1,6
88 224 4 2133 2134 1 1 1 1 1 1 1 1 1 1,0
14 15 148 29 10 120 98 1 1 1 1 1 1 1 1,6
9 116 4 11636 1 1 1 1 1 1 1 1 1 1 1,8
36 23 263 95 10 465 1 1 1 1 1 1 1 1 1,6
9 116 4 1119 791 1 1 1 1 1 1 1 1 1 1,8
27 28 29 151 162 10 5 35 1 1 1 1 1 1 1,6
151 162 148 29 10 5 1 1 1 1 1 1 1 1 1,6
77 302 9 7 8 9 519 1 1 1 1 1 1 1 1,8
7 8 9 4 234 1 1 1 1 1 1 1 1 1 1,8
36 23 9 1199 117 912 294 1 1 1 1 1 1 1 1,8
36 23 9 1199 10 7282 1 1 1 1 1 1 1 1 1,8
36 23 470 42 95 10 420 1 1 1 1 1 1 1 1,6
36 23 29 4 283 11637 10 5 1 1 1 1 1 1 1,6
7 8 9 10 11638 1 1 1 1 1 1 1 1 1 1,8
1394 1266 151 236 95 1 1 1 1 1 1 1 1 1 1,6
77 349 28 9 7 4 516 1648 1 1 1 1 1 1 1,8
7 8 9 10 1261 1 1 1 1 1 1 1 1 1 1,8
9 1 1 1 1 1 1 1 1 1 1 1 1 1 1,8
14 15 23 148 29 10 134 1 1 1 1 1 1 1 1,8
14 15 23 795 29 10 98 1 1 1 1 1 1 1 1,6
81 7 10 5 35 1 1 1 1 1 1 1 1 1 1,1
77 349 28 79 7 23 9 37 4 2049 10 1080 119 1 1,8
320 23 2040 7 320 23 2040 7 1 1 1 1 1 1 1,0
122 132 1613 2422 1 1 1 1 1 1 1 1 1 1 1,6
40 23 587 80 171 2006 1 1 1 1 1 1 1 1 1,5
14 15 1366 3 122 35 1 1 1 1 1 1 1 1 1,9
2 10 154 35 1 1 1 1 1 1 1 1 1 1 1,5
521 15 1107 1 1 1 1 1 1 1 1 1 1 1 1,6
77 78 28 79 27 28 29 83 186 10 160 35 1 1 1,6
7 117 493 148 10 531 35 1 1 1 1 1 1 1 1,5
7 8 724 280 4 1066 1 1 1 1 1 1 1 1 1,8
36 23 88 224 10 6117 98 1 1 1 1 1 1 1 1,0
2609 8528 1446 132 115 1 1 1 1 1 1 1 1 1 1,4
40 23 693 289 104 95 1 1 1 1 1 1 1 1 1,6
77 78 28 79 7 23 9 37 10 9576 351 119 1 1 1,8
36 23 5 387 388 2 95 1 1 1 1 1 1 1 1,1
7 8 27 28 29 4 171 721 10 82 1 1 1 1 1,6
7 23 9 1 1 1 1 1 1 1 1 1 1 1 1,8
1710 23 912 9 116 1 1 1 1 1 1 1 1 1 1,8
58 29 10 5 35 1 1 1 1 1 1 1 1 1 1,8
869 102 627 11639 315 68 1 1 1 1 1 1 1 1 1,6
1203 15 3262 11640 132 593 7196 432 1 1 1 1 1 1 1,0
9 7 4 1736 1 1 1 1 1 1 1 1 1 1 1,8
36 23 109 95 10 569 261 1 1 1 1 1 1 1 1,5
14 15 85 672 4 2423 1 1 1 1 1 1 1 1 1,4
36 23 711 1033 551 7 1 1 1 1 1 1 1 1 1,0
58 153 10 591 592 1 1 1 1 1 1 1 1 1 1,2
7 23 58 95 4 4531 35 1 1 1 1 1 1 1 1,9
291 37 10 11641 294 1 1 1 1 1 1 1 1 1 1,8
35 664 102 103 836 1 1 1 1 1 1 1 1 1 1,8
140 4 596 1 1 1 1 1 1 1 1 1 1 1 1,7
5 35 148 29 1 1 1 1 1 1 1 1 1 1 1,6
135 102 869 15 1366 1549 1 1 1 1 1 1 1 1 1,6
9 116 4 11642 1 1 1 1 1 1 1 1 1 1 1,8
77 40 23 85 121 4 1118 1 1 1 1 1 1 1 1,4
81 153 10 34 1 1 1 1 1 1 1 1 1 1 1,5
27 28 724 81 10 154 1 1 1 1 1 1 1 1 1,1
171 108 29 10 569 261 1 1 1 1 1 1 1 1 1,6
2 95 4 1303 35 1 1 1 1 1 1 1 1 1 1,1
14 15 5036 5037 29 10 11643 1 1 1 1 1 1 1 1,6
36 23 9 1199 117 1839 119 1 1 1 1 1 1 1 1,8
77 78 28 79 7 23 369 370 4 1622 1 1 1 1 1,0
77 78 28 1267 4 154 1 1 1 1 1 1 1 1 1,0
9 10 4889 1 1 1 1 1 1 1 1 1 1 1 1,8
14 15 661 29 4 11644 1 1 1 1 1 1 1 1 1,6
36 23 6673 9 116 1 1 1 1 1 1 1 1 1 1,8
495 102 8974 876 363 315 1 1 1 1 1 1 1 1 1,0
14 15 23 324 325 29 10 1604 1 1 1 1 1 1 1,6
77 78 28 79 7 23 9 4 441 119 1 1 1 1 1,8
40 23 2 178 117 223 1 1 1 1 1 1 1 1 1,5
27 28 724 81 10 53 1 1 1 1 1 1 1 1 1,6
7 4 109 95 10 154 35 1 1 1 1 1 1 1 1,5
495 15 7180 1777 1 1 1 1 1 1 1 1 1 1 1,6
7 8 23 106 81 457 3 10 142 1 1 1 1 1 1,8
29 4 83 108 10 5 1 1 1 1 1 1 1 1 1,6
14 15 783 633 511 4 11645 1 1 1 1 1 1 1 1,8
148 153 10 86 35 1 1 1 1 1 1 1 1 1 1,6
495 15 1712 29 1 1 1 1 1 1 1 1 1 1 1,6
36 23 5 2229 945 551 7 1 1 1 1 1 1 1 1,7
14 15 148 29 4 97 98 1 1 1 1 1 1 1 1,6
171 56 102 153 10 420 35 1 1 1 1 1 1 1 1,6
148 29 10 18 6 1 1 1 1 1 1 1 1 1 1,6
1106 11646 126 58 1 1 1 1 1 1 1 1 1 1 1,6
77 213 7 8 29 555 4 1320 10 5083 35 1 1 1 1,6
2061 15 9620 1 1 1 1 1 1 1 1 1 1 1 1,0
77 302 7 8 27 28 80 81 4 160 1 1 1 1 1,5
7 8 9 10 234 1 1 1 1 1 1 1 1 1 1,5
77 78 28 79 7 23 27 28 29 83 108 74 10 379 35 ,6
40 23 2 193 4 420 1 1 1 1 1 1 1 1 1,1
7830 15 627 314 315 68 1 1 1 1 1 1 1 1 1,6
9 7 403 36 1 1 1 1 1 1 1 1 1 1 1,2
7 8 9 10 1982 1 1 1 1 1 1 1 1 1 1,8
439 54 15 9 7 119 2568 525 2090 1 1 1 1 1 1,8
14 15 661 29 4 1579 106 1 1 1 1 1 1 1 1,6
77 349 28 9 7 4 1618 119 1 1 1 1 1 1 1,8
151 614 74 10 173 106 1 1 1 1 1 1 1 1 1,6
7 8 48 29 4 2470 230 10 97 98 1 1 1 1 1,6
58 95 10 5 4 35 1 1 1 1 1 1 1 1 1,9
14 15 7018 29 10 659 261 1 1 1 1 1 1 1 1,6
